"Ramsar Site No.","Site name","Region","Country","Territory","Designation date","Last publication date","Area (ha)","Latitude","Longitude","Annotated summary","Criterion1","Criterion2","Criterion3","Criterion4","Criterion5","Criterion6","Criterion7","Criterion8","Criterion9","Wetland Type","Maximum elevation","Minimum elevation","Montreux listed","Management plan implemented","Management plan available","Ecosystem services","Threats","large administrative region","Global international legal designations","Regional international legal designations","National conservation designation","Does the wetland extend onto the territory of one or more other countries?","Ramsar Advisory Mission?"
"2486","Kanjirankulam Bird Sanctuary","Asia","India","","2022-04-08","2022-10-31","96.891","9.3597305616574","78.479065972257","<p>Kanjirankulam Bird Sanctuary is a nationally protected area and a notable nesting site for several migratory heron species. It is dominated by sub-tropical forests of babul (<em>Acacia nilotica</em>) that provide habitat for endemic and migratory birds including near-threatened species such as painted stork (<em>Mycteria leucocephala</em>), spot-billed pelican (<em>Pelecanus philippensis</em>), oriental darter (<em>Anhinga melanogaster</em>)&nbsp;and oriental white ibis (<em>Threskiornis melanocephalus</em>). Recent growth of invasive <em>Prosopis</em> trees has affected the growth of the indigenous babul populations, threatening the habitat of these birds. Besides its rich biodiversity, the wetland supports the adjacent ecosystems and communities by providing irrigation, flood control, and erosion control. It is culturally important to the local communities, who are known to protect the birds from poaching and other threats. The wetland is sensitive to climate changes which heavily influence the seasonal variability of the water level.</p>","No","Yes","Yes","No","No","Yes","Yes","Yes","No","Inland wetlands, Xf: Freshwater, tree-dominated wetlands","70","30","No","No","Yes","Cultural Services, Scientific and educational, Recreation and tourism, Supporting Services, Biodiversity, Soil formation, Nutrient cycling, Provisioning Services, Fresh water, Wetland non-food products, Regulating Services, Maintenance of hydrological regimes, Climate regulation, Erosion protection","Water regulation, Water abstraction, Drainage, Water releases, Agriculture & aquaculture, Livestock farming and ranching, Biological resource use, Logging and wood harvesting, Gathering terrestrial plants, Human intrusions & disturbance, Unspecified/others, Climate change & severe weather, Droughts, Temperature extremes, Storms and flooding, Transportation and service corridors, Unspecified, Natural system modifications, Vegetation clearance/ land conversion, Invasive and other problematic species and genes, Invasive non-native/ alien species, Pollution, Excess heat, sound, light, Unspecified, Human settlements (non agricultural), Unspecified development","Peraiyur Panchayat, Mudukulathur Taluk, Ramanathapuram District, Tamilnadu, India","","","Overlapping site categories, Non-statutory designations, Important Bird Area","No","No"
"1160","Kanjli","Asia","India","","2002-01-22","2002-01-22","183","31.416666666667","75.366666666667","Kanjli. 22/01/02;. Punjab; 183 ha; 31°25'N 075°22'E. A permanent stream, the Kali Bein, converted by construction of a small barrage in 1870 into a water storage area for irrigation purposes. The site fulfils Criteria 3 because of its importance in supporting a considerable diversity of aquatic, mesophytic, and terrestrial flora and fauna in the biogeographical region, and acts also as a key regulator of groundwater discharge and recharge with the seasons. By this means and by direct abstraction of water for irrigation by the local population, the site plays a crucial role in the agriculture which predominates on the surrounding fertile plain, with fewer pressures upon water supplies than elsewhere in the Punjab. The invasive water hyacinth is present and must be removed from time to time; increasing pollution levels, deforestation in the catchment area, and excessive grazing are seen as potential threats. The stream is considered to be the most significant in the state from the religious point of view, as it is associated with the first guru of the Sikhs, Shri Guru Nanak Dev Ji. The stream itself and surrounding marsh is under provincial ownership and surrounding areas privately owned. The site is a center for environmental tourism and picnicking. Ramsar site no. 1160. Most recent RIS information: 2001.","No","No","Yes","No","No","No","No","No","No","Human-made wetlands, 6: Water storage areas/Reservoirs, Inland wetlands, M: Permanent rivers/ streams/ creeks","","210","No","Yes","Yes","Regulating Services, Maintenance of hydrological regimes, Pollution control and detoxification, Hazard reduction, Provisioning Services, Fresh water, Cultural Services, Recreation and tourism, Spiritual and inspirational","Natural system modifications, Unspecified/others, Dams and water management/use, Vegetation clearance/ land conversion, Agriculture & aquaculture, Livestock farming and ranching, Invasive and other problematic species and genes, Invasive non-native/ alien species, Pollution, Unspecified, Industrial and military effluents, Household sewage, urban waste water, Human settlements (non agricultural), Housing and urban areas, Commercial and industrial areas","Punjab","","","","No","No"
"2537","Karaivetti Bird Sanctuary","Asia","India","","2023-05-24","2024-01-31","453.715","10.98025802633","79.045739435954","<p>The Site is one of the largest inland freshwater lakes in the State of Tamil Nadu. It provides important stopover and foraging ground for birds migrating along the Central Asian Flyway. Some 10,000 individuals of 14 colonial waterbird species have been found nesting here. The gum Arabic tree (<em>Acacia nilotica</em>) provides roosting and nesting grounds for threatened species such as spotted eagle (<em>Aquila clanga</em>), tawny eagle (<em>Aquila rapax</em>) and Indian darter (<em>Anhinga melanogaster</em>). When the water level starts receding after January, larger birds such as painted stork (<em>Mycteria leucocephala</em>) flock to the Site; it has recorded one of the largest congregations of waterbirds among all lakes in the State of Tamil Nadu. The Site also provides breeding habitat for the vulnerable Indian flap-shelled turtle (<em>Lissemys punctata</em>). During the driest period, between July and October, the water level of the Site is maintained with water from the Mettur Dam. The lake water is used to irrigate about 4,000 hectares of surrounding farmland. There are issues related to human-wildlife conflict, in particularly concerning the vulnerable bonnet macaque (<em>Macaca radiata</em>).</p>","No","Yes","Yes","Yes","Yes","Yes","No","No","No","Inland wetlands, O: Permanent freshwater lakes","55","52","No","No","No","Provisioning Services, Fresh water, Regulating Services, Maintenance of hydrological regimes, Erosion protection, Climate regulation, Hazard reduction, Biological control of pests and disease, Cultural Services, Recreation and tourism, Supporting Services, Biodiversity, Pollination, Nutrient cycling","Human settlements (non agricultural), Housing and urban areas, Water regulation, Dredging, Water abstraction, Water releases, Agriculture & aquaculture, Livestock farming and ranching, Biological resource use, Fishing and harvesting aquatic resources, Human intrusions & disturbance, Recreational and tourism activities, Climate change & severe weather, Habitat shifting and alteration, Droughts, Temperature extremes, Storms and flooding, Pollution, Agricultural and forestry effluents, Invasive and other problematic species and genes, Invasive non-native/ alien species, Natural system modifications, Vegetation clearance/ land conversion","Ariyalur District","","","Overlapping site categories, Non-statutory designations, Important Bird Area","No","No"
"2480","Karikili Bird Sanctuary ","Asia","India","","2022-04-08","2022-07-25","58.442","12.598929845085","79.842419721553","<p>The Karikili Bird Sanctuary comprises two rain-fed non-perennial irrigation tanks spreading over an area of more than 58 hectares. The Site is flat or gently undulating and lies near low ridged, rocky hillocks. Rainfall varies greatly from year to year, from 400 mm to almost 1,700 mm, flooding the Site in the monsoon months from July to September. The vegetation is mainly composed of <em>Barringtonia acutangula</em> and <em>Acacia nilotica </em>trees, raised as plantations by the Forest Department. Surrounding vegetation is composed of scrub and thorn. The Site provides habitat for a variety of resident and migratory birds, most of them waterbirds, as well as a few species of scavengers. The near-threatened oriental darter (<em>Anhinga melanogaster</em>) and spot-billed pelican (<em>Pelecanus philippensis</em>) breed here. The wetland also supports several mammal, reptile and amphibian species such as the jungle cat, bonnet macaque, jackal, python, sand boa and frogs. The Karikili Bird Sanctuary has a history of people cooperating in protecting waterbirds, as their guano enables the supply of nutrient-enriched water to crop fields. The Site was declared a Birds Sanctuary in 1972 and a management plan is currently being implemented to safeguard the biodiversity of the Site as well as the ecosystem services provided to the local communities.</p>","No","No","Yes","Yes","No","Yes","Yes","No","No","Human-made wetlands, 6: Water storage areas/Reservoirs","100","23","No","Yes","Yes","Provisioning Services, Food for humans, Fresh water, Regulating Services, Maintenance of hydrological regimes, Erosion protection, Climate regulation, Biological control of pests and disease, Hazard reduction, Cultural Services, Recreation and tourism, Spiritual and inspirational, Supporting Services, Biodiversity, Soil formation, Nutrient cycling, Pollination","Invasive and other problematic species and genes, Invasive non-native/ alien species, Human settlements (non agricultural), Housing and urban areas, Commercial and industrial areas, Agriculture & aquaculture, Annual and perennial non-timber crops, Biological resource use, Fishing and harvesting aquatic resources","Partly Maduranthagam Taluk, Chengalpattu District & partly Kancheepuram District","","","Overlapping site categories, Non-statutory designations, Important Bird Area","No","No"
"2548","Kazhuveli Bird Sanctuary","Asia","India","","2024-01-16","2024-08-22","5151.6","12.110294041978","79.861503569022","<p>The Site, the second largest brackish lake in Peninsular India, was designated as a Bird Sanctuary in 2021. It is connected to the Bay of Bengal in the north via Uppukalli creek, and receives seawater during high tides or cyclones. As a result, the salinity of the wetland varies, with saltier water in the north transitioning to fresh water in the south at Kazhuveli basin. This variation allows the wetland to act as a migratory path and spawning ground for multiple fish species. The gum arabic tree (<em>Vachellia nilotica</em>) and Jerusalem thorn (<em>Parkinsonia aculeata</em>) found in the Site provide nesting areas for over 2,000 colonial nesting birds each breeding season, particularly for the spot-billed pelican (<em>Pelecanus philippensis</em>). Located along the central Asian flyway, the Site also provides feeding grounds for migratory species such as the vulnerable spotted eagle (<em>Aquila clanga</em>), imperial eagle (<em>Aquila heliaca</em>) and river tern (<em>Sterna aurantia</em>). Its swampy areas offer suitable nesting grounds for the vulnerable Indian flap-shelled turtle (<em>Lissemys punctata</em>) and Indian star tortoise (<em>Geochelone elegans</em>). Overall, the diverse habitats support 229 species of birds, 85 fish, 72 butterflies, 39 reptiles, 13 amphibians and 14 mammals. Hence, the Site is popular amongst nature enthusiasts, bird watchers, wildlife photographers and researchers.</p>","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Marine or coastal wetlands, J: Coastal brackish / saline lagoons","45","0","No","Yes","Yes","Provisioning Services, Food for humans, Fresh water, Wetland non-food products, Regulating Services, Climate regulation, Erosion protection, Cultural Services, Recreation and tourism, Scientific and educational, Supporting Services, Biodiversity, Nutrient cycling","Human settlements (non agricultural), Housing and urban areas, Commercial and industrial areas, Water regulation, Salinisation, Canalisation and river regulation, Agriculture & aquaculture, Livestock farming and ranching, Energy production and mining, Mining and quarrying, Biological resource use, Gathering terrestrial plants, Fishing and harvesting aquatic resources, Hunting and collecting terrestrial animals, Natural system modifications, Vegetation clearance/ land conversion, Dams and water management/use, Invasive and other problematic species and genes, Invasive non-native/ alien species, Pollution, Household sewage, urban waste water, Agricultural and forestry effluents, Industrial and military effluents, Climate change & severe weather, Droughts, Storms and flooding","Tamil Nadu","","","Overlapping site categories, Non-statutory designations, Important Bird Area","No","No"
"230","Keoladeo National Park","Asia","India","","1981-10-01","1981-10-01","2873","27.216666666667","77.533333333333","Keoladeo National Park. 01/10/81; Rajasthan; 2,873 ha; 27°13'N 077°32'E. Added to the Montreux Record, 4 July 1990. World Heritage Site; National Park; Bird Sanctuary. A complex of ten artificial, seasonal lagoons, varying in size, situated in a densely populated region. Vegetation is a mosaic of scrub and open grassland that provides habitat for breeding, wintering and staging migratory birds. Also supported are five species of ungulates, four species of cats, and two species of primates, as well as diverse plants, fish and reptiles. The canal provides water for agriculture and domestic consumption. Cattle and water buffalo graze on the site. A field research station exists. Placed on the Montreux Record in 1990 due to ""water shortage and an unbalanced grazing regime"". Additionally, the invasive growth of the grass Paspalum distichum has changed the ecological character of large areas of the site, reducing its suitability for certain waterbird species, notably the Siberian crane. Subject of Ramsar Advisory Missions in 1988 and 1990. Ramsar site no. 230.","No","Yes","No","No","No","No","No","No","No","Inland wetlands, Tp: Permanent freshwater marshes/ pools, Ts: Seasonal/ intermittent freshwater marshes/ pools on inorganic soils, P: Seasonal/ intermittent freshwater lakes, Human-made wetlands, 6: Water storage areas/Reservoirs","","","Yes","No","No","Provisioning Services, Fresh water, Cultural Services, Scientific and educational","Climate change & severe weather, Droughts, Natural system modifications, Dams and water management/use, Unspecified/others","Rajasthan","Overlapping site categories, Global international legal and other formal, World Heritage site","","","No","Yes"
"2414","Keshopur-Miani Community Reserve","Asia","India","","2019-09-26","2020-02-01","343.9","32.092860671298","75.389983442135","<p>The Keshopur-Miani Community Reserve is located in the State of Punjab. The Reserve is a mosaic of natural marshes, aquaculture ponds and agricultural wetlands maintained by the annual rainfall runoff. It is heavily human-influenced, and includes a series of managed fishponds and cultivated crops such lotus and chestnut. This management helps support a variety of flora, with 344 species of plants recorded in the area. In this way, the Site is an example of wise use of a community-managed wetland, which provides food for people and supports local biodiversity. Threatened species present include the vulnerable common pochard (<em>Aythya ferina</em>) and the endangered spotted pond turtle (<em>Geoclemys hamiltonii</em>). The Department of Forests and Wildlife Preservation, Punjab, forms the management committee.</p>","No","Yes","No","No","Yes","No","No","No","No","Inland wetlands, Ts: Seasonal/ intermittent freshwater marshes/ pools on inorganic soils, Tp: Permanent freshwater marshes/ pools, Human-made wetlands, 1: Aquaculture ponds, 4: Seasonally flooded agricultural land","245","242","No","Yes","Yes","Supporting Services, Biodiversity, Pollination, Cultural Services, Scientific and educational, Recreation and tourism, Provisioning Services, Wetland non-food products, Food for humans, Regulating Services, Hazard reduction, Climate regulation, Maintenance of hydrological regimes","Human settlements (non agricultural), Unspecified development, Biological resource use, Fishing and harvesting aquatic resources, Natural system modifications, Vegetation clearance/ land conversion, Invasive and other problematic species and genes, Invasive non-native/ alien species, Pollution, Agricultural and forestry effluents, Climate change & severe weather, Unspecified, Water regulation, Drainage, Agriculture & aquaculture, Non specified, Wood and pulp plantations, Marine and freshwater aquaculture, Annual and perennial non-timber crops, Human intrusions & disturbance, Recreational and tourism activities","Gurdaspur district of Punjab","","","","No","No"
"2560","Khachoedpalri wetland","Asia","India","","2024-07-15","2025-02-02","172","27.351847828585","88.183703982098","<p>The Site is a temperate Himalayan high altitude wetland ecosystem, which is an ecosystem found in only ten percent of India&rsquo;s land area. The central lake is surrounded by peatland and a temperate forest of evergreen oaks, chestnuts and laurels, providing more than 680 species critical refuge from volatile mountain conditions. Notably, the Site serves as an important habitat and stopover site for birds migrating across the Himalayas, including the critically endangered Baer&rsquo;s pochard (<em>Aythya baeri</em>). It is also home to the endangered red panda (<em>Ailurus fulgens</em>) and the vulnerable Himalayan black bear (<em>Ursus thibetanus laniger</em>), both of which are endemic to the region. The Site has religious significance as a pilgrimage destination for Sikkim Himalaya communities, which, with its scenic and cultural values, makes it a major tourist attraction in the state of Sikkim.</p>","Yes","Yes","Yes","Yes","No","No","No","No","No","Inland wetlands, U: Permanent Non-forested peatlands, Tp: Permanent freshwater marshes/ pools","2400","1700","No","No","In preparation","Cultural Services, Scientific and educational, Recreation and tourism, Spiritual and inspirational, Supporting Services, Biodiversity, Soil formation, Nutrient cycling, Pollination, Provisioning Services, Fresh water, Wetland non-food products, Genetic materials, Biochemical products, Regulating Services, Maintenance of hydrological regimes, Erosion protection, Pollution control and detoxification, Climate regulation, Hazard reduction","Geological events, Avalanches/landslides, Human settlements (non agricultural), Tourism and recreation areas, Human intrusions & disturbance, Recreational and tourism activities, Invasive and other problematic species and genes, Invasive non-native/ alien species, Pollution, Garbage and solid waste","GYALSHING DISTRICT, SIKKIM, INDIA","Overlapping site categories, Global international legal and other formal, World Heritage site","","","No","No"
"2568","Khichan wetland","Asia","India","","2025-02-19","2025-06-04","54.187","27.141279529705","72.416783504105","<p>The Site, located in the northern Thar Desert, comprises two water bodies, Ratri nadi (river) and Vijaysagar talab (pond), riparian habitat and scrub land. This desert ecosystem supports drought-resistant plant species that provide habitat for over 150 species of birds. The Site is especially recognized for hosting large wintering flocks of migratory demoiselle cranes (<em>Anthropoides virgo</em>), making up over 22,000 individuals each year. Residents of the adjacent village work to mitigate threats to the cranes&rsquo; survival, by reducing mortalities from power line collisions and stray dog attacks. The Site attracts bird-watchers, tourists, students and scientists, drawn primarily by the large seasonal gathering of the cranes.</p>","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Inland wetlands, P: Seasonal/ intermittent freshwater lakes","219","219","No","No","In preparation","Cultural Services, Spiritual and inspirational, Scientific and educational, Provisioning Services, Fresh water, Supporting Services, Nutrient cycling, Biodiversity, Regulating Services, Pollution control and detoxification, Climate regulation","Human settlements (non agricultural), Tourism and recreation areas, Water regulation, Drainage, Agriculture & aquaculture, Non specified, Human intrusions & disturbance, Recreational and tourism activities, Invasive and other problematic species and genes, Unspecified, Pollution, Unspecified, Climate change & severe weather, Temperature extremes","Jodhpur and Phalodi District, Rajasthan, India.","Overlapping site categories, Global international legal and other formal, Other global designation","","Overlapping site categories, Non-statutory designations, Important Bird Area","No","No"
"2464","Khijadia Wildlife Sanctuary","Asia","India","","2021-04-13","2022-02-01","511.745","22.514468865724","70.145892033675","<p>This freshwater wetland near the coast of the Gulf of Kutch in Gujarat State&nbsp;was formed following the creation of a bund (dike) in 1920 to protect farmland from saltwater ingress. As one of the important waterbird habitats in North-West India, the Site provides breeding, feeding and roosting grounds for a wide range of resident aquatic and also land-based birds. It provides habitat for over 310 bird species, including 125 waterbirds; over 165,000 individual waterbirds have been counted. These include the endangered Pallas&rsquo;s fish-eagle (<em>Haliaeetus leucoryphus</em>) and Indian skimmer (<em>Rynchops albicollis</em>), and the vulnerable common pochard (<em>Aythya </em><em>ferina</em>). The Site also regularly supports more than 1% of the south and south-west Asian population of Dalmatian pelican (<em>Pelecanus crispus</em>), more than 2% of greylag goose (<em>Anser anser</em>)<em> </em>and more than 20% of common crane (<em>Grus grus</em>). More than 180 plant species are present, including the critically endangered Indian bdellium-tree (<em>Commiphora wightii</em>). The Site contributes to the maintenance of hydrological regimes, erosion protection and nutrient cycling. It is used for recreation and tourism, and scientific and educational activities.</p>","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Inland wetlands, Ts: Seasonal/ intermittent freshwater marshes/ pools on inorganic soils, N: Seasonal/ intermittent/ irregular rivers/ streams/ creeks","2","0","No","Yes","Yes","Provisioning Services, Fresh water, Wetland non-food products, Regulating Services, Maintenance of hydrological regimes, Erosion protection, Supporting Services, Pollination, Biodiversity, Nutrient cycling, Cultural Services, Recreation and tourism, Scientific and educational","Pollution, Agricultural and forestry effluents, Excess heat, sound, light, Agriculture & aquaculture, Annual and perennial non-timber crops, Water regulation, Water abstraction, Biological resource use, Gathering terrestrial plants, Natural system modifications, Unspecified/others, Invasive and other problematic species and genes, Invasive non-native/ alien species, Climate change & severe weather, Droughts, Human settlements (non agricultural), Unspecified development","Khijadia wildlife sanctuary falls within Jamnagar District of Gujarat State, India. Khijadia Wildlife Sanctuary located virtually between 22°31’27” N and 70°07’17”E.","","Overlapping site categories, Regional international legal and other formal designations, Other international designation","Overlapping site categories, Non-statutory designations, Important Bird Area","No","No"
"1209","Kolleru Lake","Asia","India","","2002-08-19","2002-08-19","90100","16.616666666667","81.2","Kolleru Lake. 19/08/02. Andhra Pradesh. 90,100 ha. 16°37'N 081°12'E. Wildlife Sanctuary. A natural eutrophic lake, situated between the two major river basins of the Godavari and the Krishna, fed by two seasonal rivers and a number of drains and channels, which functions as a natural flood balancing reservoir between the deltas of the two rivers. It provides habitat for a number of resident and migratory birds, including declining numbers of the vulnerable Grey Pelican (Pelecanus philippensis), and sustains both culture and capture fisheries, agriculture and related occupations of the people in the area. Damage and losses due to flooding in monsoon seasons and partial drying out during summers, the results of inadequate management planning and action, are seen as areas for improvement. WWF-India has been of great assistance in preparing the site's designation. Ramsar site no. 1209. Most recent RIS information: 2002.","Yes","Yes","No","Yes","Yes","No","No","Yes","No","Inland wetlands, O: Permanent freshwater lakes, Ts: Seasonal/ intermittent freshwater marshes/ pools on inorganic soils, N: Seasonal/ intermittent/ irregular rivers/ streams/ creeks, Human-made wetlands, 1: Aquaculture ponds, Marine or coastal wetlands, K: Coastal freshwater lagoons","5","0","No","No","In preparation","Regulating Services, Hazard reduction, Maintenance of hydrological regimes, Cultural Services, Spiritual and inspirational, Recreation and tourism, Provisioning Services, Food for humans","Natural system modifications, Unspecified/others, Dams and water management/use, Vegetation clearance/ land conversion, Agriculture & aquaculture, Annual and perennial non-timber crops, Marine and freshwater aquaculture, Water regulation, Drainage, Salinisation, Transportation and service corridors, Roads and railroads, Climate change & severe weather, Storms and flooding, Invasive and other problematic species and genes, Problematic native species","Andhra Pradesh","","","","No","No"
"2479","Koonthankulam Bird Sanctuary ","Asia","India","","2021-11-08","2022-08-03","72.04","8.4956900866255","77.753975700159","<p>The Site consists of irrigation tanks interconnected by a network of canals built a few centuries ago and fed by the rivers originating from the Western Ghats mountain range. Otherwise it only receives water only through seasonal monsoon rainfall. This wetland is the largest reserve for breeding resident and migratory waterbirds in South India. It is an Important Bird and Biodiversity Area (IBA) on the Central Asian Flyway. Notable waterbird species include Indian pond heron (<em>Ardeola grayii</em>), Eurasian wigeon (<em>Anas penelope</em>), spot-billed pelican (<em>Pelecanus philippensis</em>), oriental darter (<em>Anhinga melanogaster</em>) and Northern pintail (<em>Anas acuta</em>). The wetland supports rich social and cultural heritage as well as the agriculture which is the major source of local people&rsquo;s livelihoods. It also acts as a buffer against flooding during periods of extreme rainfall. It was declared a Bird Sanctuary in 1994; however some significant threats still affect the wetland including encroachments, household sewage and urban wastewater, the growth of shrimp farms, and other human activities.</p>","No","No","Yes","Yes","Yes","Yes","No","No","No","Human-made wetlands, 2: Ponds","75","69","No","Yes","Yes","Regulating Services, Hazard reduction, Maintenance of hydrological regimes, Climate regulation, Erosion protection, Provisioning Services, Food for humans, Fresh water, Cultural Services, Recreation and tourism, Spiritual and inspirational, Supporting Services, Biodiversity, Nutrient cycling, Soil formation, Pollination","Climate change & severe weather, Storms and flooding, Habitat shifting and alteration, Droughts, Temperature extremes, Pollution, Household sewage, urban waste water, Agricultural and forestry effluents, Garbage and solid waste, Invasive and other problematic species and genes, Invasive non-native/ alien species, Natural system modifications, Vegetation clearance/ land conversion, Human intrusions & disturbance, Recreational and tourism activities, Biological resource use, Fishing and harvesting aquatic resources, Human settlements (non agricultural), Housing and urban areas, Water regulation, Water releases, Water abstraction, Drainage, Agriculture & aquaculture, Livestock farming and ranching","Tirunelveli district","","","Overlapping site categories, Non-statutory designations, Important Bird Area","No","No"
"2583","Kopra Jalashay","Asia","India","","2025-08-08","2025-12-12","210","22.064891090124","82.052491255628","<p>The Site is a reservoir located in the upper catchments of the River Mahanadi. Originally constructed for irrigation purposes, it is mainly surrounded by farmland and a few villages. The wetland&rsquo;s extensive open water area features shallow nutrient-rich backwaters. Its strong hydrological and ecological connectivity contributes to a wide variety of habitats across the area. The wetland supports more than 60 migratory bird species which rely on it for nesting, feeding and as a stop-over site. Notable species include the vulnerable greater spotted eagle (<em>Aquila clanga</em>) and the endangered Egyptian vulture (<em>Neophron percnopterus</em>). The Site is appreciated by both local communities and tourists for its natural beauty and birdwatching opportunities. The wetland faces threats from siltation, invasive non-native species, and intensive agriculture in the surrounding landscape. Conservation measures are proposed at the Site but a management plan remains to be prepared.</p>","No","Yes","Yes","No","Yes","No","No","No","No","Human-made wetlands, 6: Water storage areas/Reservoirs","295","287","No","No","No","Provisioning Services, Food for humans, Regulating Services, Maintenance of hydrological regimes, Cultural Services, Recreation and tourism, Supporting Services, Biodiversity","Climate change & severe weather, Droughts, Agriculture & aquaculture, Annual and perennial non-timber crops, Biological resource use, Fishing and harvesting aquatic resources, Human intrusions & disturbance, Recreational and tourism activities, Natural system modifications, Vegetation clearance/ land conversion, Pollution, Agricultural and forestry effluents, Human settlements (non agricultural), Tourism and recreation areas, Water regulation, Water abstraction, Invasive and other problematic species and genes, Invasive non-native/ alien species","Kopra Jalashay is situated in Bilaspur Dist. Takhatpur Block, Chhattisgarh, India.","","","","No","No"
"463","Loktak Lake","Asia","India","","1990-03-23","1990-03-23","26600","24.433333333333","93.816666666667","Loktak Lake. 23/03/90; Manipur; 26,600 ha; 24°26'N 093°49'E. Added to the Montreux Record, 16 June 1993. A large, but shrinking freshwater lake and associated swamplands supplied by several streams. Thick, floating mats of weeds covered with soil (phumids') are a characteristic feature. The lake is used extensively by local people as a source of water for irrigation and domestic use and is an important wintering and staging area for waterbirds, particularly ducks. It also plays an important role in flood control. Included on the Montreux Record in 1993 as a result of ecological problems such as deforestation in the catchment area, infestation of water hyacinth, and pollution. The construction of a dam for hydroelectric power generation and irrigation purposes has caused the local extinction of several native fish species. Ramsar site no. 463. Most recent RIS information: 1990.","Yes","Yes","No","No","No","No","No","No","No","Inland wetlands, Tp: Permanent freshwater marshes/ pools, O: Permanent freshwater lakes, Human-made wetlands, 3: Irrigated land, 6: Water storage areas/Reservoirs","","","Yes","No","Yes","Regulating Services, Hazard reduction, Maintenance of hydrological regimes, Provisioning Services, Fresh water, Food for humans","Natural system modifications, Unspecified/others, Vegetation clearance/ land conversion, Invasive and other problematic species and genes, Invasive non-native/ alien species, Pollution, Unspecified","Manipur","","","","No","No"
"2538","Longwood Shola Reserve Forest","Asia","India","","2023-05-24","2024-01-31","116.007","11.439536536639","76.877289771441","<p>The Site lies near the town of Kothagiri, adjacent to the eastern slopes of the Nilgiri mountain range. It features intermittent freshwater marshes and streams nested within a &ldquo;shola&rdquo; (a tropical montane forest of southern India which is usually found in patches separated by grasslands). This Site is the only natural shola forest remaining in the vicinity of Kothagiri and has very high species endemism. Around 40 species of trees, four reptiles, 14 frogs and 14 birds that are endemic to the Western Ghats region are found here. Some of the noteworthy plant species that are endemic and threatened include <em>Actinodaphne bourneae</em> (the Bourne&rsquo;s beak-rush), <em>Psychotria nilgiriensis</em> and <em>Cinnamomum wightii</em> (the Wight&rsquo;s cinnamon). The Site is one of the key conservation areas of the endangered black-chinned Nilgiri laughing thrush (<em>Strophocincla cachinnans</em>), the Nilgiri blue robin (<em>Myiomela major</em>) and the vulnerable Nilgiri wood-pigeon (<em>Columba elphinstonii</em>). It is mainly threatened by encroachment, invasive species and deforestation. A committee of local residents actively work with the Reserve&rsquo;s officials to protect the Site and its biodiversity.</p>","Yes","Yes","Yes","Yes","No","No","No","No","No","Inland wetlands, N: Seasonal/ intermittent/ irregular rivers/ streams/ creeks, Ts: Seasonal/ intermittent freshwater marshes/ pools on inorganic soils","2250","2000","No","No","No","Supporting Services, Pollination, Biodiversity, Nutrient cycling, Soil formation, Provisioning Services, Fresh water, Regulating Services, Maintenance of hydrological regimes, Erosion protection, Climate regulation, Cultural Services, Recreation and tourism, Scientific and educational, Spiritual and inspirational","Climate change & severe weather, Temperature extremes, Geological events, Avalanches/landslides, Pollution, Household sewage, urban waste water, Industrial and military effluents, Agricultural and forestry effluents, Invasive and other problematic species and genes, Invasive non-native/ alien species, Natural system modifications, Fire and fire suppression, Dams and water management/use, Human intrusions & disturbance, Recreational and tourism activities, Biological resource use, Hunting and collecting terrestrial animals, Logging and wood harvesting, Transportation and service corridors, Roads and railroads, Energy production and mining, Renewable energy, Agriculture & aquaculture, Annual and perennial non-timber crops, Livestock farming and ranching, Water regulation, Drainage, Water releases, Canalisation and river regulation, Human settlements (non agricultural), Housing and urban areas, Commercial and industrial areas, Tourism and recreation areas","Ooty","Overlapping site categories, Global international legal and other formal, UNESCO Biosphere Reserve","","Overlapping site categories, Non-statutory designations, Important Bird Area","No","No"
"2536","Magadi Kere Conservation Reserve","Asia","India","","2023-02-14","2024-01-31","54.38","15.223403322007","75.516845698918","<p>The Site is a human-made wetland that was primarily constructed to store monsoon rainwater for irrigation in a rural area of the Gadag district. Over the years following its construction, the water in the wetland became increasingly alkaline and unsuitable for irrigation. Nevertheless, the Site now provides stable habitat conditions for more than 165 bird species and has been declared nationally as a conservation reserve and globally as an Important Bird and Biodiversity Area (IBA). Rare and threatened species such as the northern shoveler (<em>Anas clypeata</em>), garganey (<em>Anas querquedula</em>) and common pochard (<em>Aythya ferina</em>) are found here. Some 30,000 waterbird individuals including 8,000 wintering individuals have been regularly recorded; the Site is one of the largest wintering grounds for bar-headed goose (<em>Anser indicus</em>) in southern India. The globally endangered Indian pangolin (<em>Manis crassicaudata</em>) has also been observed in the vicinity of the Site. Locals primarily enter for cattle grazing and fishing.</p>","No","Yes","Yes","No","Yes","Yes","No","No","No","Human-made wetlands, 6: Water storage areas/Reservoirs","663","663","No","No","No","Provisioning Services, Fresh water, Food for humans, Cultural Services, Recreation and tourism, Regulating Services, Climate regulation, Supporting Services, Biodiversity","Human settlements (non agricultural), Unspecified development, Transportation and service corridors, Roads and railroads, Invasive and other problematic species and genes, Invasive non-native/ alien species, Agriculture & aquaculture, Annual and perennial non-timber crops, Energy production and mining, Mining and quarrying, Pollution, Air-borne pollutants","Shirahatti","","","Overlapping site categories, Non-statutory designations, Important Bird Area","No","No"
